rep,trat,massa,individuo,tempo
5,basalis,ovo_sadio,1,15
5,basalis,ovo_sadio,2,NA
5,basalis,ovo_sadio,3,NA
5,basalis,ovo_sadio,4,NA
6,basalis,basalis,1,14
6,basalis,basalis,2,NA
6,basalis,basalis,3,NA
6,basalis,basalis,4,NA
6,basalis,podisi,1,15
6,basalis,podisi,2,16
6,basalis,podisi,3,16
6,basalis,podisi,4,NA
6,basalis,ovo_sadio,1,14
6,basalis,ovo_sadio,2,NA
6,basalis,ovo_sadio,3,NA
6,basalis,ovo_sadio,4,NA
7,basalis,basalis,1,14
7,basalis,basalis,2,NA
7,basalis,basalis,3,NA
7,basalis,basalis,4,NA
7,basalis,podisi,1,14
7,basalis,podisi,2,15
7,basalis,podisi,3,NA
7,basalis,podisi,4,NA
7,basalis,ovo_sadio,1,16
7,basalis,ovo_sadio,2,17
7,basalis,ovo_sadio,3,18
7,basalis,ovo_sadio,4,NA
8,basalis,basalis,1,17
8,basalis,basalis,2,NA
8,basalis,basalis,3,NA
8,basalis,basalis,4,NA
8,basalis,podisi,1,14
8,basalis,podisi,2,16
8,basalis,podisi,3,17
8,basalis,podisi,4,17
8,basalis,ovo_sadio,1,NA
8,basalis,ovo_sadio,2,NA
8,basalis,ovo_sadio,3,NA
8,basalis,ovo_sadio,4,NA
9,basalis,basalis,1,15
9,basalis,basalis,2,NA
9,basalis,basalis,3,NA
9,basalis,basalis,4,NA
9,basalis,podisi,1,16
9,basalis,podisi,2,16
9,basalis,podisi,3,NA
9,basalis,podisi,4,NA
9,basalis,ovo_sadio,1,NA
9,basalis,ovo_sadio,2,NA
9,basalis,ovo_sadio,3,NA
9,basalis,ovo_sadio,4,NA
10,basalis,basalis,1,14
10,basalis,basalis,2,NA
10,basalis,basalis,3,NA
10,basalis,basalis,4,NA
10,basalis,podisi,1,14
10,basalis,podisi,2,15
10,basalis,podisi,3,16
10,basalis,podisi,4,NA
10,basalis,ovo_sadio,1,15
10,basalis,ovo_sadio,2,NA
10,basalis,ovo_sadio,3,NA
10,basalis,ovo_sadio,4,NA
1,juntos,basalis,1,15
1,juntos,basalis,2,16
1,juntos,basalis,3,NA
1,juntos,basalis,4,NA
1,juntos,podisi,1,13
1,juntos,podisi,2,14
1,juntos,podisi,3,NA
1,juntos,podisi,4,NA
1,juntos,ovo_sadio,1,15
1,juntos,ovo_sadio,2,16
1,juntos,ovo_sadio,3,NA
1,juntos,ovo_sadio,4,NA
2,juntos,basalis,1,NA
2,juntos,basalis,2,NA
2,juntos,basalis,3,NA
2,juntos,basalis,4,NA
2,juntos,podisi,1,13
2,juntos,podisi,2,14
2,juntos,podisi,3,14
2,juntos,podisi,4,NA
2,juntos,ovo_sadio,1,15
2,juntos,ovo_sadio,2,15
2,juntos,ovo_sadio,3,15
2,juntos,ovo_sadio,4,NA
3,juntos,basalis,1,17
3,juntos,basalis,2,17
3,juntos,basalis,3,NA
3,juntos,basalis,4,NA
3,juntos,podisi,1,NA
3,juntos,podisi,2,NA
3,juntos,podisi,3,NA
3,juntos,podisi,4,NA
3,juntos,ovo_sadio,1,16
3,juntos,ovo_sadio,2,16
3,juntos,ovo_sadio,3,16
3,juntos,ovo_sadio,4,NA
4,juntos,basalis,1,NA
4,juntos,basalis,2,NA
4,juntos,basalis,3,NA
4,juntos,basalis,4,NA
4,juntos,podisi,1,14
4,juntos,podisi,2,15
4,juntos,podisi,3,15
4,juntos,podisi,4,15
4,juntos,ovo_sadio,1,15
4,juntos,ovo_sadio,2,16
4,juntos,ovo_sadio,3,16
4,juntos,ovo_sadio,4,NA
5,juntos,basalis,1,13
5,juntos,basalis,2,NA
5,juntos,basalis,3,NA
5,juntos,basalis,4,NA
5,juntos,podisi,1,15
5,juntos,podisi,2,15
5,juntos,podisi,3,15
5,juntos,podisi,4,16
5,juntos,ovo_sadio,1,15
5,juntos,ovo_sadio,2,15
5,juntos,ovo_sadio,3,16
5,juntos,ovo_sadio,4,NA
6,juntos,basalis,1,13
6,juntos,basalis,2,15
6,juntos,basalis,3,NA
6,juntos,basalis,4,NA
6,juntos,podisi,1,14
6,juntos,podisi,2,14
6,juntos,podisi,3,16
6,juntos,podisi,4,16
6,juntos,ovo_sadio,1,15
6,juntos,ovo_sadio,2,NA
6,juntos,ovo_sadio,3,NA
6,juntos,ovo_sadio,4,NA
7,juntos,basalis,1,14
7,juntos,basalis,2,14
7,juntos,basalis,3,15
7,juntos,basalis,4,NA
7,juntos,podisi,1,14
7,juntos,podisi,2,14
7,juntos,podisi,3,15
7,juntos,podisi,4,NA
7,juntos,ovo_sadio,1,16
7,juntos,ovo_sadio,2,NA
7,juntos,ovo_sadio,3,NA
7,juntos,ovo_sadio,4,NA
8,juntos,basalis,1,15
8,juntos,basalis,2,15
8,juntos,basalis,3,NA
8,juntos,basalis,4,NA
8,juntos,podisi,1,14
8,juntos,podisi,2,15
8,juntos,podisi,3,15
8,juntos,podisi,4,NA
8,juntos,ovo_sadio,1,14
8,juntos,ovo_sadio,2,14
8,juntos,ovo_sadio,3,NA
8,juntos,ovo_sadio,4,NA
9,juntos,basalis,1,NA
9,juntos,basalis,2,NA
9,juntos,basalis,3,NA
9,juntos,basalis,4,NA
9,juntos,podisi,1,14
9,juntos,podisi,2,16
9,juntos,podisi,3,NA
9,juntos,podisi,4,NA
9,juntos,ovo_sadio,1,15
9,juntos,ovo_sadio,2,16
9,juntos,ovo_sadio,3,16
9,juntos,ovo_sadio,4,NA
10,juntos,basalis,1,16
10,juntos,basalis,2,NA
10,juntos,basalis,3,NA
10,juntos,basalis,4,NA
10,juntos,podisi,1,14
