bloco,rep,trat,especie,emerg,tempo,censura
2,10,c,NA,20,23,0
3,11,c,Bas,1,13,1
3,11,c,Bas,2,13,1
3,11,c,Bas,3,13,1
3,11,c,Bas,4,13,1
3,11,c,Bas,5,13,1
3,11,c,Bas,6,14,1
3,11,c,Bas,7,14,1
3,11,c,Bas,8,14,1
3,11,c,Bas,9,14,1
3,11,c,Bas,10,15,1
3,11,c,Pod,11,15,1
3,11,c,NA,12,23,0
3,11,c,NA,13,23,0
3,11,c,NA,14,23,0
3,11,c,NA,15,23,0
3,11,c,NA,16,23,0
3,11,c,NA,17,23,0
3,11,c,NA,18,23,0
3,11,c,NA,19,23,0
3,11,c,NA,20,23,0
3,12,c,Bas,1,13,1
3,12,c,Bas,2,13,1
3,12,c,Bas,3,13,1
3,12,c,Bas,4,13,1
3,12,c,Bas,5,13,1
3,12,c,Bas,6,13,1
3,12,c,Bas,7,13,1
3,12,c,Bas,8,14,1
3,12,c,Bas,9,14,1
3,12,c,Bas,10,14,1
3,12,c,Bas,11,14,1
3,12,c,Bas,12,14,1
3,12,c,Bas,13,14,1
3,12,c,Bas,14,14,1
3,12,c,Bas,15,14,1
3,12,c,NA,16,23,0
3,12,c,NA,17,23,0
3,12,c,NA,18,23,0
3,12,c,NA,19,23,0
3,12,c,NA,20,23,0
3,13,c,Bas,1,13,1
3,13,c,Bas,2,13,1
3,13,c,Bas,3,14,1
3,13,c,Bas,4,15,1
3,13,c,Bas,5,16,1
3,13,c,Pod,6,16,1
3,13,c,Bas,7,17,1
3,13,c,NA,8,23,0
3,13,c,NA,9,23,0
3,13,c,NA,10,23,0
3,13,c,NA,11,23,0
3,13,c,NA,12,23,0
3,13,c,NA,13,23,0
3,13,c,NA,14,23,0
3,13,c,NA,15,23,0
3,13,c,NA,16,23,0
3,13,c,NA,17,23,0
3,13,c,NA,18,23,0
3,13,c,NA,19,23,0
3,13,c,NA,20,23,0
3,14,c,Bas,8,18,1
3,14,c,Bas,1,15,1
3,14,c,Bas,2,15,1
3,14,c,Bas,3,15,1
3,14,c,Bas,4,15,1
3,14,c,Bas,5,15,1
3,14,c,Bas,6,15,1
3,14,c,Bas,7,15,1
3,14,c,Bas,8,15,1
3,14,c,Bas,9,15,1
3,14,c,Bas,10,15,1
3,14,c,Bas,11,15,1
3,14,c,Bas,12,15,1
3,14,c,Bas,13,15,1
3,14,c,Bas,14,15,1
3,14,c,Pod,15,15,1
3,14,c,Pod,16,16,1
3,14,c,Pod,17,16,1
3,14,c,Bas,18,16,1
3,14,c,NA,19,23,0
3,14,c,NA,20,23,0
3,15,c,Bas,1,13,1
3,15,c,Bas,2,13,1
3,15,c,Bas,3,15,1
3,15,c,Bas,4,15,1
3,15,c,Bas,5,15,1
3,15,c,Bas,6,15,1
3,15,c,Bas,7,15,1
3,15,c,Bas,8,15,1
3,15,c,Bas,9,15,1
3,15,c,Bas,10,15,1
3,15,c,Bas,11,15,1
3,15,c,Bas,12,15,1
3,15,c,Pod,13,15,1
3,15,c,Pod,14,16,1
3,15,c,Bas,15,17,1
3,15,c,NA,16,23,0
3,15,c,NA,17,23,0
3,15,c,NA,18,23,0
3,15,c,NA,19,23,0
3,15,c,NA,20,23,0
